County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates
"Jefferson County, Ohio(6)",39081,Urban,26.4 ,24,falling,-18.3 
"Worth County, Georgia(7)",13321,Urban,26.4 ,8,stable,0.7 
"Cherokee County, Iowa(7)",19035,Rural,26.3 ,4,*,*
"Colleton County, South Carolina(6)",45029,Rural,26.3 ,13,rising,3.8 
"Coles County, Illinois(7)",17029,Rural,26.3 ,14,rising,5.7 
"Lafayette Parish, Louisiana(7)",22055,Urban,26.3 ,69,rising,2.6 
"McDowell County, North Carolina(6)",37111,Rural,26.3 ,16,rising,3.2 
"Caroline County, Virginia(6)",51033,Rural,26.2 ,10,stable,2.8 
"Terrebonne Parish, Louisiana(7)",22109,Urban,26.2 ,33,stable,1.3 
"Beauregard Parish, Louisiana(7)",22011,Rural,26.2 ,11,rising,4.3 
"Sangamon County, Illinois(7)",17167,Urban,26.2 ,68,rising,2.4 
"Karnes County, Texas(7)",48255,Rural,26.2 ,4,*,*
"Nelson County, Kentucky(7)",21179,Urban,26.2 ,15,rising,18.9 
"Clinton County, Illinois(7)",17027,Urban,26.2 ,13,rising,4.6 
"Gooding County, Idaho(7)",16047,Rural,26.2 ,5,*,*
"Beltrami County, Minnesota(6)",27007,Rural,26.2 ,13,stable,2.8 
"Sanders County, Montana(6)",30089,Rural,26.1 ,6,*,*
"Henry County, Missouri(6)",29083,Rural,26.1 ,8,rising,4.0 
"Perry County, Missouri(6)",29157,Rural,26.1 ,7,stable,1.6 
"Hardin County, Kentucky(7)",21093,Urban,26.1 ,32,rising,6.1 
"Magoffin County, Kentucky(7)",21153,Rural,26.1 ,4,stable,3.2 
"Vilas County, Wisconsin(6)",55125,Rural,26.1 ,11,stable,3.7 
"Reeves County, Texas(7)",48389,Rural,26,3,stable,2.2 
"Crawford County, Arkansas(6)",5033,Urban,26,19,rising,5.3 
"Grimes County, Texas(7)",48185,Rural,26,9,stable,1.1 
"Claiborne Parish, Louisiana(7)",22027,Rural,25.9 ,5,stable,-33.3 
