County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates
"Grand County, Colorado(6)",8049,Rural,* ,3 or fewer,*,*
"Grand County, Utah(7)",49019,Rural,* ,3 or fewer,*,*
"Grand Isle County, Vermont(6)",50013,Urban,* ,3 or fewer,*,*
"Granite County, Montana(6)",30039,Rural,* ,3 or fewer,*,*
"Grant County, Arkansas(6)",5053,Urban,* ,3 or fewer,*,*
"Grant County, Indiana(6)",18053,Rural,data not available ,data not available,data not available,data not available
"Grant County, Kansas(6)",20067,Rural,data not available ,data not available,data not available,data not available
"Grant County, Minnesota(6)",27051,Rural,* ,3 or fewer,*,*
"Grant County, Nebraska(6)",31075,Rural,* ,3 or fewer,*,*
"Grant County, North Dakota(6)",38037,Rural,* ,3 or fewer,*,*
"Grant County, Oklahoma(6)",40053,Rural,* ,3 or fewer,*,*
"Grant County, Oregon(6)",41023,Rural,* ,3 or fewer,*,*
"Grant County, South Dakota(6)",46051,Rural,* ,3 or fewer,*,*
"Gray County, Kansas(6)",20069,Rural,data not available ,data not available,data not available,data not available
"Greeley County, Kansas(6)",20071,Rural,data not available ,data not available,data not available,data not available
"Greeley County, Nebraska(6)",31077,Rural,* ,3 or fewer,*,*
"Greene County, Alabama(6)",1063,Urban,* ,3 or fewer,*,*
"Greene County, Indiana(6)",18055,Rural,data not available ,data not available,data not available,data not available
"Greene County, Mississippi(6)",28041,Rural,* ,3 or fewer,*,*
"Greenwood County, Kansas(6)",20073,Rural,data not available ,data not available,data not available,data not available
"Greer County, Oklahoma(6)",40055,Rural,* ,3 or fewer,*,*
"Gregory County, South Dakota(6)",46053,Rural,* ,3 or fewer,*,*
"Griggs County, North Dakota(6)",38039,Rural,* ,3 or fewer,*,*
"Guadalupe County, New Mexico(7)",35019,Rural,* ,3 or fewer,*,*
"Gunnison County, Colorado(6)",8051,Rural,* ,3 or fewer,*,*
"Haakon County, South Dakota(6)",46055,Rural,* ,3 or fewer,*,*
"Haines Borough, Alaska(6)",2100,Rural,* ,3 or fewer,*,*
"Hall County, Texas(7)",48191,Rural,* ,3 or fewer,*,*
"Hamilton County, Illinois(7)",17065,Rural,* ,3 or fewer,*,*
"Hamilton County, Indiana(6)",18057,Urban,data not available ,data not available,data not available,data not available
"Hamilton County, Kansas(6)",20075,Rural,data not available ,data not available,data not available,data not available
"Hamilton County, Nebraska(6)",31081,Rural,* ,3 or fewer,*,*
"Hamilton County, New York(7)",36041,Rural,* ,3 or fewer,*,*
"Hamlin County, South Dakota(6)",46057,Rural,* ,3 or fewer,*,*
"Hampton County, South Carolina(6)",45049,Rural,* ,3 or fewer,*,*
"Hancock County, Georgia(7)",13141,Rural,* ,3 or fewer,*,*
"Hancock County, Indiana(6)",18059,Urban,data not available ,data not available,data not available,data not available
"Hancock County, Iowa(7)",19081,Rural,* ,3 or fewer,*,*
"Hancock County, Tennessee(6)",47067,Rural,* ,3 or fewer,*,*
"Hand County, South Dakota(6)",46059,Rural,* ,3 or fewer,*,*
"Hansford County, Texas(7)",48195,Rural,* ,3 or fewer,*,*
"Hanson County, South Dakota(6)",46061,Rural,* ,3 or fewer,*,*
"Hardeman County, Texas(7)",48197,Rural,* ,3 or fewer,*,*
"Hardin County, Illinois(7)",17069,Rural,* ,3 or fewer,*,*
"Harding County, New Mexico(7)",35021,Rural,* ,3 or fewer,*,*
"Harding County, South Dakota(6)",46063,Rural,* ,3 or fewer,*,*
"Hardy County, West Virginia(6)",54031,Rural,* ,3 or fewer,*,*
"Harlan County, Nebraska(6)",31083,Rural,* ,3 or fewer,*,*
"Harmon County, Oklahoma(6)",40057,Rural,* ,3 or fewer,*,*
"Harney County, Oregon(6)",41025,Rural,* ,3 or fewer,*,*
"Harper County, Kansas(6)",20077,Rural,data not available ,data not available,data not available,data not available
"Harper County, Oklahoma(6)",40059,Rural,* ,3 or fewer,*,*
"Harrison County, Indiana(6)",18061,Urban,data not available ,data not available,data not available,data not available
"Hartley County, Texas(7)",48205,Rural,* ,3 or fewer,*,*
"Harvey County, Kansas(6)",20079,Urban,data not available ,data not available,data not available,data not available
"Haskell County, Kansas(6)",20081,Rural,data not available ,data not available,data not available,data not available
"Haskell County, Texas(7)",48207,Rural,* ,3 or fewer,*,*
"Hayes County, Nebraska(6)",31085,Rural,* ,3 or fewer,*,*
"Heard County, Georgia(7)",13149,Urban,* ,3 or fewer,*,*
"Hemphill County, Texas(7)",48211,Rural,* ,3 or fewer,*,*
"Henderson County, Illinois(7)",17071,Rural,* ,3 or fewer,*,*
"Hendricks County, Indiana(6)",18063,Urban,data not available ,data not available,data not available,data not available
"Henry County, Indiana(6)",18065,Rural,data not available ,data not available,data not available,data not available
"Hettinger County, North Dakota(6)",38041,Rural,* ,3 or fewer,*,*
"Hickman County, Kentucky(7)",21105,Rural,* ,3 or fewer,*,*
"Hickory County, Missouri(6)",29085,Rural,* ,3 or fewer,*,*
"Hidalgo County, New Mexico(7)",35023,Rural,* ,3 or fewer,*,*
"Highland County, Virginia(6)",51091,Rural,* ,3 or fewer,*,*
"Hill County, Montana(6)",30041,Rural,* ,3 or fewer,*,*
"Hinsdale County, Colorado(6)",8053,Rural,* ,3 or fewer,*,*
"Hitchcock County, Nebraska(6)",31087,Rural,* ,3 or fewer,*,*
"Hodgeman County, Kansas(6)",20083,Rural,data not available ,data not available,data not available,data not available
"Holmes County, Florida(6)",12059,Rural,* ,3 or fewer,*,*
"Holt County, Missouri(6)",29087,Rural,* ,3 or fewer,*,*
"Hooker County, Nebraska(6)",31091,Rural,* ,3 or fewer,*,*
"Hoonah-Angoon Census Area, Alaska(6)",2105,Rural,* ,3 or fewer,*,*
"Hot Springs County, Wyoming(6)",56017,Rural,* ,3 or fewer,*,*
"Houston County, Tennessee(6)",47083,Rural,* ,3 or fewer,*,*
"Howard County, Indiana(6)",18067,Urban,data not available ,data not available,data not available,data not available
"Howard County, Iowa(7)",19089,Rural,* ,3 or fewer,*,*
"Howard County, Missouri(6)",29089,Urban,* ,3 or fewer,*,*
"Howard County, Nebraska(6)",31093,Urban,* ,3 or fewer,*,*
"Hudspeth County, Texas(7)",48229,Urban,* ,3 or fewer,*,*
"Huerfano County, Colorado(6)",8055,Rural,* ,3 or fewer,*,*
"Hughes County, South Dakota(6)",46065,Rural,* ,3 or fewer,*,*
"Humboldt County, Nevada(6)",32013,Rural,* ,3 or fewer,*,*
"Humphreys County, Mississippi(6)",28053,Rural,* ,3 or fewer,*,*
"Huntington County, Indiana(6)",18069,Rural,data not available ,data not available,data not available,data not available
"Hutchinson County, South Dakota(6)",46067,Rural,* ,3 or fewer,*,*
"Hyde County, North Carolina(6)",37095,Rural,* ,3 or fewer,*,*
"Hyde County, South Dakota(6)",46069,Rural,* ,3 or fewer,*,*
"Ida County, Iowa(7)",19093,Rural,* ,3 or fewer,*,*
"Irion County, Texas(7)",48235,Urban,* ,3 or fewer,*,*
"Iron County, Michigan(6)",26071,Rural,* ,3 or fewer,*,*
"Irwin County, Georgia(7)",13155,Rural,* ,3 or fewer,*,*
"Issaquena County, Mississippi(6)",28055,Rural,* ,3 or fewer,*,*
"Jack County, Texas(7)",48237,Rural,* ,3 or fewer,*,*
"Jackson County, Colorado(6)",8057,Rural,* ,3 or fewer,*,*
"Jackson County, Indiana(6)",18071,Rural,data not available ,data not available,data not available,data not available
"Jackson County, Kansas(6)",20085,Urban,data not available ,data not available,data not available,data not available
"Jackson County, Kentucky(7)",21109,Rural,* ,3 or fewer,*,*
"Jackson County, Minnesota(6)",27063,Rural,* ,3 or fewer,*,*
"Jackson County, South Dakota(6)",46071,Rural,* ,3 or fewer,*,*
"Jackson County, Tennessee(6)",47087,Rural,* ,3 or fewer,*,*
"Jasper County, Illinois(7)",17079,Rural,* ,3 or fewer,*,*
"Jasper County, Indiana(6)",18073,Urban,data not available ,data not available,data not available,data not available
"Jay County, Indiana(6)",18075,Rural,data not available ,data not available,data not available,data not available
"Jeff Davis County, Georgia(7)",13161,Rural,* ,3 or fewer,*,*
"Jeff Davis County, Texas(7)",48243,Rural,* ,3 or fewer,*,*
"Jefferson County, Florida(6)",12065,Urban,* ,3 or fewer,*,*
"Jefferson County, Georgia(7)",13163,Rural,* ,3 or fewer,*,*
"Jefferson County, Idaho(7)",16051,Urban,* ,3 or fewer,*,*
"Jefferson County, Indiana(6)",18077,Rural,data not available ,data not available,data not available,data not available
"Jefferson County, Kansas(6)",20087,Urban,data not available ,data not available,data not available,data not available
"Jefferson County, Mississippi(6)",28063,Rural,* ,3 or fewer,*,*
"Jefferson County, Nebraska(6)",31095,Rural,* ,3 or fewer,*,*
"Jefferson County, Oklahoma(6)",40067,Rural,* ,3 or fewer,*,*
"Jefferson Davis County, Mississippi(6)",28065,Rural,* ,3 or fewer,*,*
"Jenkins County, Georgia(7)",13165,Rural,* ,3 or fewer,*,*
"Jennings County, Indiana(6)",18079,Rural,data not available ,data not available,data not available,data not available
"Jerauld County, South Dakota(6)",46073,Rural,* ,3 or fewer,*,*
"Jewell County, Kansas(6)",20089,Rural,data not available ,data not available,data not available,data not available
"Jim Hogg County, Texas(7)",48247,Rural,* ,3 or fewer,*,*
"Johnson County, Georgia(7)",13167,Rural,* ,3 or fewer,*,*
"Johnson County, Indiana(6)",18081,Urban,data not available ,data not available,data not available,data not available
"Johnson County, Kansas(6)",20091,Urban,data not available ,data not available,data not available,data not available
"Johnson County, Nebraska(6)",31097,Rural,* ,3 or fewer,*,*
"Johnson County, Tennessee(6)",47091,Rural,* ,3 or fewer,*,*
"Johnson County, Wyoming(6)",56019,Rural,* ,3 or fewer,*,*
"Johnston County, Oklahoma(6)",40069,Rural,* ,3 or fewer,*,*
"Jones County, South Dakota(6)",46075,Rural,* ,3 or fewer,*,*
"Juab County, Utah(7)",49023,Urban,* ,3 or fewer,*,*
"Judith Basin County, Montana(6)",30045,Rural,* ,3 or fewer,*,*
"Kalawao County, Hawaii(7)",15005,Urban,* ,3 or fewer,*,*
"Kane County, Utah(7)",49025,Rural,* ,3 or fewer,*,*
"Kearney County, Nebraska(6)",31099,Rural,* ,3 or fewer,*,*
"Kearny County, Kansas(6)",20093,Rural,data not available ,data not available,data not available,data not available
"Keith County, Nebraska(6)",31101,Rural,* ,3 or fewer,*,*
"Kemper County, Mississippi(6)",28069,Rural,* ,3 or fewer,*,*
"Kenedy County, Texas(7)",48261,Rural,* ,3 or fewer,*,*
"Kent County, Texas(7)",48263,Rural,* ,3 or fewer,*,*
"Keweenaw County, Michigan(6)",26083,Rural,* ,3 or fewer,*,*
"Keya Paha County, Nebraska(6)",31103,Rural,* ,3 or fewer,*,*
"Kidder County, North Dakota(6)",38043,Rural,* ,3 or fewer,*,*
"Kimball County, Nebraska(6)",31105,Rural,* ,3 or fewer,*,*
"Kimble County, Texas(7)",48267,Rural,* ,3 or fewer,*,*
"King County, Texas(7)",48269,Rural,* ,3 or fewer,*,*
"King and Queen County, Virginia(6)",51097,Urban,* ,3 or fewer,*,*
"Kingman County, Kansas(6)",20095,Rural,data not available ,data not available,data not available,data not available
"Kingsbury County, South Dakota(6)",46077,Rural,* ,3 or fewer,*,*
"Kinney County, Texas(7)",48271,Rural,* ,3 or fewer,*,*
"Kiowa County, Colorado(6)",8061,Rural,* ,3 or fewer,*,*
"Kiowa County, Kansas(6)",20097,Rural,data not available ,data not available,data not available,data not available
"Kiowa County, Oklahoma(6)",40075,Rural,* ,3 or fewer,*,*
"Kit Carson County, Colorado(6)",8063,Rural,* ,3 or fewer,*,*
"Kittson County, Minnesota(6)",27069,Rural,* ,3 or fewer,*,*
"Knox County, Indiana(6)",18083,Rural,data not available ,data not available,data not available,data not available
"Knox County, Missouri(6)",29103,Rural,* ,3 or fewer,*,*
"Knox County, Nebraska(6)",31107,Rural,* ,3 or fewer,*,*
"Knox County, Texas(7)",48275,Rural,* ,3 or fewer,*,*
"Kodiak Island Borough, Alaska(6)",2150,Rural,* ,3 or fewer,*,*
"Kosciusko County, Indiana(6)",18085,Rural,data not available ,data not available,data not available,data not available
"Kusilvak Census Area, Alaska(6)",2158,Rural,* ,3 or fewer,*,*
"La Salle County, Texas(7)",48283,Rural,* ,3 or fewer,*,*
"LaGrange County, Indiana(6)",18087,Rural,data not available ,data not available,data not available,data not available
"LaMoure County, North Dakota(6)",38045,Rural,* ,3 or fewer,*,*
"LaPorte County, Indiana(6)",18091,Urban,data not available ,data not available,data not available,data not available
"Labette County, Kansas(6)",20099,Rural,data not available ,data not available,data not available,data not available
"Lac qui Parle County, Minnesota(6)",27073,Rural,* ,3 or fewer,*,*
"Lafayette County, Arkansas(6)",5073,Rural,* ,3 or fewer,*,*
"Lafayette County, Florida(6)",12067,Rural,* ,3 or fewer,*,*
"Lake County, Colorado(6)",8065,Rural,* ,3 or fewer,*,*
"Lake County, Indiana(6)",18089,Urban,data not available ,data not available,data not available,data not available
"Lake County, Oregon(6)",41037,Rural,* ,3 or fewer,*,*
"Lake County, South Dakota(6)",46079,Rural,* ,3 or fewer,*,*
"Lake County, Tennessee(6)",47095,Rural,* ,3 or fewer,*,*
"Lake and Peninsula Borough, Alaska(6)",2164,Rural,* ,3 or fewer,*,*
"Lake of the Woods County, Minnesota(6)",27077,Rural,* ,3 or fewer,*,*
"Lamb County, Texas(7)",48279,Rural,* ,3 or fewer,*,*
"Lander County, Nevada(6)",32015,Rural,* ,3 or fewer,*,*
"Lane County, Kansas(6)",20101,Rural,data not available ,data not available,data not available,data not available
"Lanier County, Georgia(7)",13173,Urban,* ,3 or fewer,*,*
"Latimer County, Oklahoma(6)",40077,Rural,* ,3 or fewer,*,*
"Lawrence County, Indiana(6)",18093,Rural,data not available ,data not available,data not available,data not available
"Leavenworth County, Kansas(6)",20103,Urban,data not available ,data not available,data not available,data not available
"Lee County, Kentucky(7)",21129,Rural,* ,3 or fewer,*,*
"Lemhi County, Idaho(7)",16059,Rural,* ,3 or fewer,*,*
"Leslie County, Kentucky(7)",21131,Rural,* ,3 or fewer,*,*
"Lewis County, Idaho(7)",16061,Rural,* ,3 or fewer,*,*
"Lewis County, Kentucky(7)",21135,Rural,* ,3 or fewer,*,*
"Lexington City, Virginia(6)",51678,Rural,* ,3 or fewer,*,*
"Liberty County, Florida(6)",12077,Rural,* ,3 or fewer,*,*
"Liberty County, Montana(6)",30051,Rural,* ,3 or fewer,*,*
"Lincoln County, Colorado(6)",8073,Rural,* ,3 or fewer,*,*
"Lincoln County, Georgia(7)",13181,Urban,* ,3 or fewer,*,*
"Lincoln County, Idaho(7)",16063,Rural,* ,3 or fewer,*,*
"Lincoln County, Kansas(6)",20105,Rural,data not available ,data not available,data not available,data not available
"Lincoln County, Minnesota(6)",27081,Rural,* ,3 or fewer,*,*
"Lincoln County, Nevada(6)",32017,Rural,* ,3 or fewer,*,*
"Lincoln County, Washington(6)",53043,Rural,* ,3 or fewer,*,*
"Lincoln County, Wyoming(6)",56023,Rural,* ,3 or fewer,*,*
"Linn County, Kansas(6)",20107,Urban,data not available ,data not available,data not available,data not available
"Lipscomb County, Texas(7)",48295,Rural,* ,3 or fewer,*,*
"Livingston County, Missouri(6)",29117,Rural,* ,3 or fewer,*,*
"Logan County, Colorado(6)",8075,Rural,* ,3 or fewer,*,*
"Logan County, Kansas(6)",20109,Rural,data not available ,data not available,data not available,data not available
"Logan County, Nebraska(6)",31113,Rural,* ,3 or fewer,*,*
"Logan County, North Dakota(6)",38047,Rural,* ,3 or fewer,*,*
"Long County, Georgia(7)",13183,Urban,* ,3 or fewer,*,*
"Loup County, Nebraska(6)",31115,Rural,* ,3 or fewer,*,*
"Love County, Oklahoma(6)",40085,Rural,* ,3 or fewer,*,*
"Loving County, Texas(7)",48301,Rural,* ,3 or fewer,*,*
"Lucas County, Iowa(7)",19117,Rural,* ,3 or fewer,*,*
"Luce County, Michigan(6)",26095,Rural,* ,3 or fewer,*,*
"Lunenburg County, Virginia(6)",51111,Rural,* ,3 or fewer,*,*
"Lyman County, South Dakota(6)",46085,Rural,* ,3 or fewer,*,*
"Lynn County, Texas(7)",48305,Urban,* ,3 or fewer,*,*
"Lyon County, Kansas(6)",20111,Rural,data not available ,data not available,data not available,data not available
"Lyon County, Kentucky(7)",21143,Rural,* ,3 or fewer,*,*
"Mackinac County, Michigan(6)",26097,Rural,* ,3 or fewer,*,*
"Macon County, Georgia(7)",13193,Rural,* ,3 or fewer,*,*
"Madison County, Indiana(6)",18095,Urban,data not available ,data not available,data not available,data not available
"Madison County, Montana(6)",30057,Rural,* ,3 or fewer,*,*
"Madison County, Texas(7)",48313,Rural,* ,3 or fewer,*,*
"Madison County, Virginia(6)",51113,Rural,* ,3 or fewer,*,*
"Mahnomen County, Minnesota(6)",27087,Rural,* ,3 or fewer,*,*
"Major County, Oklahoma(6)",40093,Rural,* ,3 or fewer,*,*
"Manassas Park City, Virginia(6)",51685,Urban,* ,3 or fewer,*,*
"Maries County, Missouri(6)",29125,Rural,* ,3 or fewer,*,*
"Marion County, Georgia(7)",13197,Urban,* ,3 or fewer,*,*
"Marion County, Indiana(6)",18097,Urban,data not available ,data not available,data not available,data not available
"Marion County, Kansas(6)",20115,Rural,data not available ,data not available,data not available,data not available
"Marshall County, Indiana(6)",18099,Rural,data not available ,data not available,data not available,data not available
"Marshall County, Kansas(6)",20117,Rural,data not available ,data not available,data not available,data not available
"Marshall County, South Dakota(6)",46091,Rural,* ,3 or fewer,*,*
"Martin County, Indiana(6)",18101,Rural,data not available ,data not available,data not available,data not available
"Martin County, Kentucky(7)",21159,Rural,* ,3 or fewer,*,*
"Martin County, Texas(7)",48317,Urban,* ,3 or fewer,*,*
"Mason County, Texas(7)",48319,Rural,* ,3 or fewer,*,*
"McCone County, Montana(6)",30055,Rural,* ,3 or fewer,*,*
"McCook County, South Dakota(6)",46087,Urban,* ,3 or fewer,*,*
"McCormick County, South Carolina(6)",45065,Rural,* ,3 or fewer,*,*
"McHenry County, North Dakota(6)",38049,Urban,* ,3 or fewer,*,*
"McIntosh County, North Dakota(6)",38051,Rural,* ,3 or fewer,*,*
"McKenzie County, North Dakota(6)",38053,Rural,* ,3 or fewer,*,*
"McLean County, North Dakota(6)",38055,Rural,* ,3 or fewer,*,*
"McMullen County, Texas(7)",48311,Rural,* ,3 or fewer,*,*
"McPherson County, Kansas(6)",20113,Rural,data not available ,data not available,data not available,data not available
"McPherson County, Nebraska(6)",31117,Rural,* ,3 or fewer,*,*
"McPherson County, South Dakota(6)",46089,Rural,* ,3 or fewer,*,*
"Meade County, Kansas(6)",20119,Rural,data not available ,data not available,data not available,data not available
"Meagher County, Montana(6)",30059,Rural,* ,3 or fewer,*,*
"Mellette County, South Dakota(6)",46095,Rural,* ,3 or fewer,*,*
"Menard County, Texas(7)",48327,Rural,* ,3 or fewer,*,*
"Menifee County, Kentucky(7)",21165,Rural,* ,3 or fewer,*,*
"Menominee County, Wisconsin(6)",55078,Rural,* ,3 or fewer,*,*
"Mercer County, Illinois(7)",17131,Urban,* ,3 or fewer,*,*
"Mercer County, Missouri(6)",29129,Rural,* ,3 or fewer,*,*
"Mercer County, North Dakota(6)",38057,Rural,* ,3 or fewer,*,*
"Miami County, Indiana(6)",18103,Rural,data not available ,data not available,data not available,data not available
"Miami County, Kansas(6)",20121,Urban,data not available ,data not available,data not available,data not available
"Millard County, Utah(7)",49027,Rural,* ,3 or fewer,*,*
"Miller County, Georgia(7)",13201,Rural,* ,3 or fewer,*,*
"Mills County, Texas(7)",48333,Rural,* ,3 or fewer,*,*
"Miner County, South Dakota(6)",46097,Rural,* ,3 or fewer,*,*
"Mineral County, Colorado(6)",8079,Rural,* ,3 or fewer,*,*
"Mineral County, Montana(6)",30061,Urban,* ,3 or fewer,*,*
"Mineral County, Nevada(6)",32021,Rural,* ,3 or fewer,*,*
"Missaukee County, Michigan(6)",26113,Rural,* ,3 or fewer,*,*
"Mitchell County, Iowa(7)",19131,Rural,* ,3 or fewer,*,*
"Mitchell County, Kansas(6)",20123,Rural,data not available ,data not available,data not available,data not available
"Mitchell County, North Carolina(6)",37121,Rural,* ,3 or fewer,*,*
"Mitchell County, Texas(7)",48335,Rural,* ,3 or fewer,*,*
"Modoc County, California(7)",6049,Rural,* ,3 or fewer,*,*
"Moffat County, Colorado(6)",8081,Rural,* ,3 or fewer,*,*
"Mono County, California(7)",6051,Rural,* ,3 or fewer,*,*
"Monroe County, Arkansas(6)",5095,Rural,* ,3 or fewer,*,*
"Monroe County, Indiana(6)",18105,Urban,data not available ,data not available,data not available,data not available
"Monroe County, Iowa(7)",19135,Rural,* ,3 or fewer,*,*
"Monroe County, West Virginia(6)",54063,Rural,* ,3 or fewer,*,*
"Montgomery County, Arkansas(6)",5097,Rural,* ,3 or fewer,*,*
"Montgomery County, Georgia(7)",13209,Rural,* ,3 or fewer,*,*
"Montgomery County, Indiana(6)",18107,Rural,data not available ,data not available,data not available,data not available
"Montgomery County, Kansas(6)",20125,Rural,data not available ,data not available,data not available,data not available
"Moody County, South Dakota(6)",46101,Rural,* ,3 or fewer,*,*
"Moore County, Tennessee(6)",47127,Rural,* ,3 or fewer,*,*
"Mora County, New Mexico(7)",35033,Rural,* ,3 or fewer,*,*
"Morgan County, Indiana(6)",18109,Urban,data not available ,data not available,data not available,data not available
"Morgan County, Utah(7)",49029,Urban,* ,3 or fewer,*,*
"Morrill County, Nebraska(6)",31123,Rural,* ,3 or fewer,*,*
"Morris County, Kansas(6)",20127,Rural,data not available ,data not available,data not available,data not available
"Morrow County, Oregon(6)",41049,Rural,* ,3 or fewer,*,*
"Morton County, Kansas(6)",20129,Rural,data not available ,data not available,data not available,data not available
"Motley County, Texas(7)",48345,Rural,* ,3 or fewer,*,*
"Mountrail County, North Dakota(6)",38061,Rural,* ,3 or fewer,*,*
"Murray County, Minnesota(6)",27101,Rural,* ,3 or fewer,*,*
"Musselshell County, Montana(6)",30065,Rural,* ,3 or fewer,*,*
"Nance County, Nebraska(6)",31125,Rural,* ,3 or fewer,*,*
"Nantucket County, Massachusetts(7)",25019,Rural,* ,3 or fewer,*,*
"Nelson County, North Dakota(6)",38063,Rural,* ,3 or fewer,*,*
"Nemaha County, Kansas(6)",20131,Rural,data not available ,data not available,data not available,data not available
"Nemaha County, Nebraska(6)",31127,Rural,* ,3 or fewer,*,*
"Neosho County, Kansas(6)",20133,Rural,data not available ,data not available,data not available,data not available
"Ness County, Kansas(6)",20135,Rural,data not available ,data not available,data not available,data not available
"Nevada County, Arkansas(6)",5099,Rural,* ,3 or fewer,*,*
"Newton County, Arkansas(6)",5101,Rural,* ,3 or fewer,*,*
"Newton County, Indiana(6)",18111,Urban,data not available ,data not available,data not available,data not available
"Nicholas County, Kentucky(7)",21181,Rural,* ,3 or fewer,*,*
"Niobrara County, Wyoming(6)",56027,Rural,* ,3 or fewer,*,*
"Noble County, Indiana(6)",18113,Rural,data not available ,data not available,data not available,data not available
"Noble County, Ohio(6)",39121,Rural,* ,3 or fewer,*,*
"Nome Census Area, Alaska(6)",2180,Rural,* ,3 or fewer,*,*
"North Slope Borough, Alaska(6)",2185,Rural,* ,3 or fewer,*,*
"Northwest Arctic Borough, Alaska(6)",2188,Rural,* ,3 or fewer,*,*
"Norton City, Virginia(6)",51720,Rural,* ,3 or fewer,*,*
"Norton County, Kansas(6)",20137,Rural,data not available ,data not available,data not available,data not available
"Nowata County, Oklahoma(6)",40105,Rural,* ,3 or fewer,*,*
"Nuckolls County, Nebraska(6)",31129,Rural,* ,3 or fewer,*,*
"Ochiltree County, Texas(7)",48357,Rural,* ,3 or fewer,*,*
"Oglala Lakota, South Dakota(6)",46102,Rural,* ,3 or fewer,*,*
"Ohio County, Indiana(6)",18115,Urban,data not available ,data not available,data not available,data not available
"Oldham County, Texas(7)",48359,Urban,* ,3 or fewer,*,*
"Oliver County, North Dakota(6)",38065,Urban,* ,3 or fewer,*,*
"Oneida County, Idaho(7)",16071,Rural,* ,3 or fewer,*,*
"Ontonagon County, Michigan(6)",26131,Rural,* ,3 or fewer,*,*
"Orange County, Indiana(6)",18117,Rural,data not available ,data not available,data not available,data not available
"Oregon County, Missouri(6)",29149,Rural,* ,3 or fewer,*,*
"Osage County, Kansas(6)",20139,Urban,data not available ,data not available,data not available,data not available
"Osage County, Missouri(6)",29151,Urban,* ,3 or fewer,*,*
"Osborne County, Kansas(6)",20141,Rural,data not available ,data not available,data not available,data not available
"Osceola County, Iowa(7)",19143,Rural,* ,3 or fewer,*,*
"Oscoda County, Michigan(6)",26135,Rural,* ,3 or fewer,*,*
"Ottawa County, Kansas(6)",20143,Rural,data not available ,data not available,data not available,data not available
"Ouray County, Colorado(6)",8091,Rural,* ,3 or fewer,*,*
"Owen County, Indiana(6)",18119,Urban,data not available ,data not available,data not available,data not available
"Owsley County, Kentucky(7)",21189,Rural,* ,3 or fewer,*,*
"Ozark County, Missouri(6)",29153,Rural,* ,3 or fewer,*,*
"Palo Alto County, Iowa(7)",19147,Rural,* ,3 or fewer,*,*
"Park County, Colorado(6)",8093,Urban,* ,3 or fewer,*,*
"Park County, Montana(6)",30067,Rural,* ,3 or fewer,*,*
"Parke County, Indiana(6)",18121,Rural,data not available ,data not available,data not available,data not available
"Parmer County, Texas(7)",48369,Rural,* ,3 or fewer,*,*
"Pawnee County, Kansas(6)",20145,Rural,data not available ,data not available,data not available,data not available
"Pawnee County, Nebraska(6)",31133,Rural,* ,3 or fewer,*,*
"Pecos County, Texas(7)",48371,Rural,* ,3 or fewer,*,*
"Pembina County, North Dakota(6)",38067,Rural,* ,3 or fewer,*,*
"Pendleton County, West Virginia(6)",54071,Rural,* ,3 or fewer,*,*
"Pepin County, Wisconsin(6)",55091,Rural,* ,3 or fewer,*,*
"Perkins County, Nebraska(6)",31135,Rural,* ,3 or fewer,*,*
"Perkins County, South Dakota(6)",46105,Rural,* ,3 or fewer,*,*
"Perquimans County, North Carolina(6)",37143,Rural,* ,3 or fewer,*,*
"Perry County, Alabama(6)",1105,Rural,* ,3 or fewer,*,*
"Perry County, Arkansas(6)",5105,Urban,* ,3 or fewer,*,*
"Perry County, Indiana(6)",18123,Rural,data not available ,data not available,data not available,data not available
"Perry County, Mississippi(6)",28111,Urban,* ,3 or fewer,*,*
"Perry County, Tennessee(6)",47135,Rural,* ,3 or fewer,*,*
"Pershing County, Nevada(6)",32027,Rural,* ,3 or fewer,*,*
"Petersburg Census Area, Alaska(6)",2195,Rural,* ,3 or fewer,*,*
"Petroleum County, Montana(6)",30069,Rural,* ,3 or fewer,*,*
"Phelps County, Nebraska(6)",31137,Rural,* ,3 or fewer,*,*
"Phillips County, Colorado(6)",8095,Rural,* ,3 or fewer,*,*
"Phillips County, Kansas(6)",20147,Rural,data not available ,data not available,data not available,data not available
"Phillips County, Montana(6)",30071,Rural,* ,3 or fewer,*,*
"Pickett County, Tennessee(6)",47137,Rural,* ,3 or fewer,*,*
"Pierce County, Nebraska(6)",31139,Rural,* ,3 or fewer,*,*
"Pierce County, North Dakota(6)",38069,Rural,* ,3 or fewer,*,*
"Pike County, Arkansas(6)",5109,Rural,* ,3 or fewer,*,*
"Pike County, Indiana(6)",18125,Rural,data not available ,data not available,data not available,data not available
"Pipestone County, Minnesota(6)",27117,Rural,* ,3 or fewer,*,*
"Pitkin County, Colorado(6)",8097,Rural,* ,3 or fewer,*,*
"Piute County, Utah(7)",49031,Rural,* ,3 or fewer,*,*
"Platte County, Wyoming(6)",56031,Rural,* ,3 or fewer,*,*
"Pocahontas County, Iowa(7)",19151,Rural,* ,3 or fewer,*,*
"Pocahontas County, West Virginia(6)",54075,Rural,* ,3 or fewer,*,*
"Polk County, Nebraska(6)",31143,Rural,* ,3 or fewer,*,*
